title,titleSlug,difficulty,acRate,paidOnly,status,topicTags,url
Remove Duplicates from Sorted Array,remove-duplicates-from-sorted-array,Easy,60.42107106501611,False,,array;two-pointers,https://leetcode.com/problems/remove-duplicates-from-sorted-array/
Remove Element,remove-element,Easy,60.07671988223397,False,,array;two-pointers,https://leetcode.com/problems/remove-element/
Find the Index of the First Occurrence in a String,find-the-index-of-the-first-occurrence-in-a-string,Easy,45.01471444815867,False,,two-pointers;string;string-matching,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/
Divide Two Integers,divide-two-integers,Medium,18.420216162843836,False,,math;bit-manipulation,https://leetcode.com/problems/divide-two-integers/
Substring with Concatenation of All Words,substring-with-concatenation-of-all-words,Hard,33.0166889406651,False,,hash-table;string;sliding-window,https://leetcode.com/problems/substring-with-concatenation-of-all-words/
Next Permutation,next-permutation,Medium,43.11786173289626,False,,array;two-pointers,https://leetcode.com/problems/next-permutation/
Longest Valid Parentheses,longest-valid-parentheses,Hard,36.37502510872524,False,,string;dynamic-programming;stack,https://leetcode.com/problems/longest-valid-parentheses/
Search in Rotated Sorted Array,search-in-rotated-sorted-array,Medium,42.88700623767854,False,,array;binary-search,https://leetcode.com/problems/search-in-rotated-sorted-array/
Find First and Last Position of Element in Sorted Array,find-first-and-last-position-of-element-in-sorted-array,Medium,46.89061887584875,False,,array;binary-search,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/
Search Insert Position,search-insert-position,Easy,49.07000262995874,False,,array;binary-search,https://leetcode.com/problems/search-insert-position/
Valid Sudoku,valid-sudoku,Medium,62.3228185043727,False,,array;hash-table;matrix,https://leetcode.com/problems/valid-sudoku/
Sudoku Solver,sudoku-solver,Hard,63.9514529116583,False,,array;hash-table;backtracking;matrix,https://leetcode.com/problems/sudoku-solver/
Count and Say,count-and-say,Medium,60.56194633249863,False,,string,https://leetcode.com/problems/count-and-say/
Combination Sum,combination-sum,Medium,74.7373864206916,False,,array;backtracking,https://leetcode.com/problems/combination-sum/
Combination Sum II,combination-sum-ii,Medium,57.718211515840586,False,,array;backtracking,https://leetcode.com/problems/combination-sum-ii/
First Missing Positive,first-missing-positive,Hard,41.11951197438984,False,,array;hash-table,https://leetcode.com/problems/first-missing-positive/
Trapping Rain Water,trapping-rain-water,Hard,65.1683405388936,False,,array;two-pointers;dynamic-programming;stack;monotonic-stack,https://leetcode.com/problems/trapping-rain-water/
Multiply Strings,multiply-strings,Medium,42.323446394391574,False,,math;string;simulation,https://leetcode.com/problems/multiply-strings/
Wildcard Matching,wildcard-matching,Hard,29.955838492234065,False,,string;dynamic-programming;greedy;recursion,https://leetcode.com/problems/wildcard-matching/
Jump Game II,jump-game-ii,Medium,41.5410628179329,False,,array;dynamic-programming;greedy,https://leetcode.com/problems/jump-game-ii/
Permutations,permutations,Medium,80.70178069559847,False,,array;backtracking,https://leetcode.com/problems/permutations/
Permutations II,permutations-ii,Medium,61.64152156557662,False,,array;backtracking;sorting,https://leetcode.com/problems/permutations-ii/
Rotate Image,rotate-image,Medium,77.95522441997736,False,,array;math;matrix,https://leetcode.com/problems/rotate-image/
Group Anagrams,group-anagrams,Medium,70.97036710755195,False,,array;hash-table;string;sorting,https://leetcode.com/problems/group-anagrams/
"Pow(x, n)",powx-n,Medium,37.06563028584661,False,,math;recursion,https://leetcode.com/problems/powx-n/
N-Queens,n-queens,Hard,72.91132772894564,False,,array;backtracking,https://leetcode.com/problems/n-queens/
N-Queens II,n-queens-ii,Hard,76.77416083717314,False,,backtracking,https://leetcode.com/problems/n-queens-ii/
Maximum Subarray,maximum-subarray,Medium,52.12722688966467,False,,array;divide-and-conquer;dynamic-programming,https://leetcode.com/problems/maximum-subarray/
Spiral Matrix,spiral-matrix,Medium,54.01695946405176,False,,array;matrix;simulation,https://leetcode.com/problems/spiral-matrix/
Jump Game,jump-game,Medium,39.526454897551965,False,,array;dynamic-programming;greedy,https://leetcode.com/problems/jump-game/
Merge Intervals,merge-intervals,Medium,49.44315912696495,False,,array;sorting,https://leetcode.com/problems/merge-intervals/
Insert Interval,insert-interval,Medium,43.52278163515917,False,,array,https://leetcode.com/problems/insert-interval/
Length of Last Word,length-of-last-word,Easy,56.37893922513037,False,,string,https://leetcode.com/problems/length-of-last-word/
Spiral Matrix II,spiral-matrix-ii,Medium,73.46700670306086,False,,array;matrix;simulation,https://leetcode.com/problems/spiral-matrix-ii/
Permutation Sequence,permutation-sequence,Hard,50.00764180189557,False,,math;recursion,https://leetcode.com/problems/permutation-sequence/
Rotate List,rotate-list,Medium,39.99319596830638,False,,linked-list;two-pointers,https://leetcode.com/problems/rotate-list/
Unique Paths,unique-paths,Medium,65.80424371051812,False,,math;dynamic-programming;combinatorics,https://leetcode.com/problems/unique-paths/
Unique Paths II,unique-paths-ii,Medium,43.19555230715115,False,,array;dynamic-programming;matrix,https://leetcode.com/problems/unique-paths-ii/
Minimum Path Sum,minimum-path-sum,Medium,66.5371342588905,False,,array;dynamic-programming;matrix,https://leetcode.com/problems/minimum-path-sum/
Valid Number,valid-number,Hard,21.59564715831164,False,,string,https://leetcode.com/problems/valid-number/
Plus One,plus-one,Easy,47.58344602434126,False,,array;math,https://leetcode.com/problems/plus-one/
Add Binary,add-binary,Easy,55.711614832199984,False,,math;string;bit-manipulation;simulation,https://leetcode.com/problems/add-binary/
Text Justification,text-justification,Hard,48.22162714287847,False,,array;string;simulation,https://leetcode.com/problems/text-justification/
Sqrt(x),sqrtx,Easy,40.40246089636784,False,,math;binary-search,https://leetcode.com/problems/sqrtx/
Climbing Stairs,climbing-stairs,Easy,53.55840146103669,False,,math;dynamic-programming;memoization,https://leetcode.com/problems/climbing-stairs/
Simplify Path,simplify-path,Medium,47.94582894659404,False,,string;stack,https://leetcode.com/problems/simplify-path/
Edit Distance,edit-distance,Medium,58.84096183715775,False,,string;dynamic-programming,https://leetcode.com/problems/edit-distance/
Set Matrix Zeroes,set-matrix-zeroes,Medium,60.773657795500455,False,,array;hash-table;matrix,https://leetcode.com/problems/set-matrix-zeroes/
Search a 2D Matrix,search-a-2d-matrix,Medium,52.335793413609025,False,,array;binary-search;matrix,https://leetcode.com/problems/search-a-2d-matrix/
Sort Colors,sort-colors,Medium,67.64537975994192,False,,array;two-pointers;sorting,https://leetcode.com/problems/sort-colors/
Minimum Window Substring,minimum-window-substring,Hard,45.41007349646031,False,,hash-table;string;sliding-window,https://leetcode.com/problems/minimum-window-substring/
Combinations,combinations,Medium,72.95164034894736,False,,backtracking,https://leetcode.com/problems/combinations/
Subsets,subsets,Medium,80.92845958159901,False,,array;backtracking;bit-manipulation,https://leetcode.com/problems/subsets/
Word Search,word-search,Medium,45.32916764994579,False,,array;string;backtracking;depth-first-search;matrix,https://leetcode.com/problems/word-search/
Remove Duplicates from Sorted Array II,remove-duplicates-from-sorted-array-ii,Medium,62.951065590730394,False,,array;two-pointers,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/
Search in Rotated Sorted Array II,search-in-rotated-sorted-array-ii,Medium,38.90794129840632,False,,array;binary-search,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/
Remove Duplicates from Sorted List II,remove-duplicates-from-sorted-list-ii,Medium,49.94347134098601,False,,linked-list;two-pointers,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/
Remove Duplicates from Sorted List,remove-duplicates-from-sorted-list,Easy,54.9223932375334,False,,linked-list,https://leetcode.com/problems/remove-duplicates-from-sorted-list/
Largest Rectangle in Histogram,largest-rectangle-in-histogram,Hard,47.46659552235488,False,,array;stack;monotonic-stack,https://leetcode.com/problems/largest-rectangle-in-histogram/
Maximal Rectangle,maximal-rectangle,Hard,53.81858690833911,False,,array;dynamic-programming;stack;matrix;monotonic-stack,https://leetcode.com/problems/maximal-rectangle/
Partition List,partition-list,Medium,59.044632119820704,False,,linked-list;two-pointers,https://leetcode.com/problems/partition-list/
Scramble String,scramble-string,Hard,42.22515160328883,False,,string;dynamic-programming,https://leetcode.com/problems/scramble-string/
Merge Sorted Array,merge-sorted-array,Easy,52.973298408036484,False,,array;two-pointers;sorting,https://leetcode.com/problems/merge-sorted-array/
Gray Code,gray-code,Medium,61.935460143328505,False,,math;backtracking;bit-manipulation,https://leetcode.com/problems/gray-code/
Subsets II,subsets-ii,Medium,59.5661792483522,False,,array;backtracking;bit-manipulation,https://leetcode.com/problems/subsets-ii/
Decode Ways,decode-ways,Medium,36.56499399308328,False,,string;dynamic-programming,https://leetcode.com/problems/decode-ways/
Reverse Linked List II,reverse-linked-list-ii,Medium,49.64102610107607,False,,linked-list,https://leetcode.com/problems/reverse-linked-list-ii/
Restore IP Addresses,restore-ip-addresses,Medium,53.22956230229444,False,,string;backtracking,https://leetcode.com/problems/restore-ip-addresses/
Binary Tree Inorder Traversal,binary-tree-inorder-traversal,Easy,78.6386243149647,False,,stack;tree;depth-first-search;binary-tree,https://leetcode.com/problems/binary-tree-inorder-traversal/
Unique Binary Search Trees II,unique-binary-search-trees-ii,Medium,60.45112905055438,False,,dynamic-programming;backtracking;tree;binary-search-tree;binary-tree,https://leetcode.com/problems/unique-binary-search-trees-ii/
Unique Binary Search Trees,unique-binary-search-trees,Medium,62.47770690272398,False,,math;dynamic-programming;tree;binary-search-tree;binary-tree,https://leetcode.com/problems/unique-binary-search-trees/
Interleaving String,interleaving-string,Medium,42.217164268802456,False,,string;dynamic-programming,https://leetcode.com/problems/interleaving-string/
Validate Binary Search Tree,validate-binary-search-tree,Medium,34.414166872564834,False,,tree;depth-first-search;binary-search-tree;binary-tree,https://leetcode.com/problems/validate-binary-search-tree/
Recover Binary Search Tree,recover-binary-search-tree,Medium,56.416284520533985,False,,tree;depth-first-search;binary-search-tree;binary-tree,https://leetcode.com/problems/recover-binary-search-tree/
Same Tree,same-tree,Easy,65.1914885248211,False,,tree;depth-first-search;breadth-first-search;binary-tree,https://leetcode.com/problems/same-tree/
Symmetric Tree,symmetric-tree,Easy,59.32914281295364,False,,tree;depth-first-search;breadth-first-search;binary-tree,https://leetcode.com/problems/symmetric-tree/
Binary Tree Level Order Traversal,binary-tree-level-order-traversal,Medium,70.65804349729852,False,,tree;breadth-first-search;binary-tree,https://leetcode.com/problems/binary-tree-level-order-traversal/
Binary Tree Zigzag Level Order Traversal,binary-tree-zigzag-level-order-traversal,Medium,61.744554926183085,False,,tree;breadth-first-search;binary-tree,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/
Maximum Depth of Binary Tree,maximum-depth-of-binary-tree,Easy,77.17086439453634,False,,tree;depth-first-search;breadth-first-search;binary-tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/
Construct Binary Tree from Preorder and Inorder Traversal,construct-binary-tree-from-preorder-and-inorder-traversal,Medium,66.89883366296527,False,,array;hash-table;divide-and-conquer;tree;binary-tree,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/
Construct Binary Tree from Inorder and Postorder Traversal,construct-binary-tree-from-inorder-and-postorder-traversal,Medium,66.16431680852446,False,,array;hash-table;divide-and-conquer;tree;binary-tree,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/
Binary Tree Level Order Traversal II,binary-tree-level-order-traversal-ii,Medium,66.06253736090163,False,,tree;breadth-first-search;binary-tree,https://leetcode.com/problems/binary-tree-level-order-traversal-ii/
Convert Sorted Array to Binary Search Tree,convert-sorted-array-to-binary-search-tree,Easy,74.11434940890514,False,,array;divide-and-conquer;tree;binary-search-tree;binary-tree,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/
Convert Sorted List to Binary Search Tree,convert-sorted-list-to-binary-search-tree,Medium,64.51367075353801,False,,linked-list;divide-and-conquer;tree;binary-search-tree;binary-tree,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree/
Balanced Binary Tree,balanced-binary-tree,Easy,55.41091483502768,False,,tree;depth-first-search;binary-tree,https://leetcode.com/problems/balanced-binary-tree/
Minimum Depth of Binary Tree,minimum-depth-of-binary-tree,Easy,50.72816594917193,False,,tree;depth-first-search;breadth-first-search;binary-tree,https://leetcode.com/problems/minimum-depth-of-binary-tree/
Path Sum,path-sum,Easy,53.06216791031325,False,,tree;depth-first-search;breadth-first-search;binary-tree,https://leetcode.com/problems/path-sum/
Path Sum II,path-sum-ii,Medium,60.54050870021088,False,,backtracking;tree;depth-first-search;binary-tree,https://leetcode.com/problems/path-sum-ii/
Flatten Binary Tree to Linked List,flatten-binary-tree-to-linked-list,Medium,68.58464157032901,False,,linked-list;stack;tree;depth-first-search;binary-tree,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/
Distinct Subsequences,distinct-subsequences,Hard,50.15744213200216,False,,string;dynamic-programming,https://leetcode.com/problems/distinct-subsequences/
Populating Next Right Pointers in Each Node,populating-next-right-pointers-in-each-node,Medium,65.49197843923709,False,,linked-list;tree;depth-first-search;breadth-first-search;binary-tree,https://leetcode.com/problems/populating-next-right-pointers-in-each-node/
Populating Next Right Pointers in Each Node II,populating-next-right-pointers-in-each-node-ii,Medium,55.62251814788329,False,,linked-list;tree;depth-first-search;breadth-first-search;binary-tree,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii/
Pascal's Triangle,pascals-triangle,Easy,77.06033402259084,False,,array;dynamic-programming,https://leetcode.com/problems/pascals-triangle/
Pascal's Triangle II,pascals-triangle-ii,Easy,65.98725418542223,False,,array;dynamic-programming,https://leetcode.com/problems/pascals-triangle-ii/
Triangle,triangle,Medium,59.35836903530802,False,,array;dynamic-programming,https://leetcode.com/problems/triangle/
Best Time to Buy and Sell Stock,best-time-to-buy-and-sell-stock,Easy,55.29747135786251,False,,array;dynamic-programming,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/
Best Time to Buy and Sell Stock II,best-time-to-buy-and-sell-stock-ii,Medium,69.55068161590727,False,,array;dynamic-programming;greedy,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/
Best Time to Buy and Sell Stock III,best-time-to-buy-and-sell-stock-iii,Hard,51.2155871876969,False,,array;dynamic-programming,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/
Binary Tree Maximum Path Sum,binary-tree-maximum-path-sum,Hard,41.2504108125873,False,,dynamic-programming;tree;depth-first-search;binary-tree,https://leetcode.com/problems/binary-tree-maximum-path-sum/
Valid Palindrome,valid-palindrome,Easy,51.025512697246036,False,,two-pointers;string,https://leetcode.com/problems/valid-palindrome/
Word Ladder II,word-ladder-ii,Hard,27.15324450733011,False,,hash-table;string;backtracking;breadth-first-search,https://leetcode.com/problems/word-ladder-ii/
Word Ladder,word-ladder,Hard,42.89704918032787,False,,hash-table;string;breadth-first-search,https://leetcode.com/problems/word-ladder/
Longest Consecutive Sequence,longest-consecutive-sequence,Medium,47.03390372918123,False,,array;hash-table;union-find,https://leetcode.com/problems/longest-consecutive-sequence/
Sum Root to Leaf Numbers,sum-root-to-leaf-numbers,Medium,68.57064459472507,False,,tree;depth-first-search;binary-tree,https://leetcode.com/problems/sum-root-to-leaf-numbers/
Surrounded Regions,surrounded-regions,Medium,42.952824707081874,False,,array;depth-first-search;breadth-first-search;union-find;matrix,https://leetcode.com/problems/surrounded-regions/
Palindrome Partitioning,palindrome-partitioning,Medium,72.19642492072398,False,,string;dynamic-programming;backtracking,https://leetcode.com/problems/palindrome-partitioning/
Palindrome Partitioning II,palindrome-partitioning-ii,Hard,35.320771885528785,False,,string;dynamic-programming,https://leetcode.com/problems/palindrome-partitioning-ii/
Clone Graph,clone-graph,Medium,62.481968563149174,False,,hash-table;depth-first-search;breadth-first-search;graph,https://leetcode.com/problems/clone-graph/
Gas Station,gas-station,Medium,46.42031507046316,False,,array;greedy,https://leetcode.com/problems/gas-station/
Candy,candy,Hard,46.75815318840469,False,,array;greedy,https://leetcode.com/problems/candy/
Single Number,single-number,Easy,76.0197733442915,False,,array;bit-manipulation,https://leetcode.com/problems/single-number/
Single Number II,single-number-ii,Medium,65.2875137940043,False,,array;bit-manipulation,https://leetcode.com/problems/single-number-ii/
Copy List with Random Pointer,copy-list-with-random-pointer,Medium,60.60929597994863,False,,hash-table;linked-list,https://leetcode.com/problems/copy-list-with-random-pointer/
Word Break,word-break,Medium,48.30130387833839,False,,array;hash-table;string;dynamic-programming;trie;memoization,https://leetcode.com/problems/word-break/
Word Break II,word-break-ii,Hard,53.68703096003097,False,,array;hash-table;string;dynamic-programming;backtracking;trie;memoization,https://leetcode.com/problems/word-break-ii/
Linked List Cycle,linked-list-cycle,Easy,52.62098396137112,False,,hash-table;linked-list;two-pointers,https://leetcode.com/problems/linked-list-cycle/
Linked List Cycle II,linked-list-cycle-ii,Medium,55.02672809110977,False,,hash-table;linked-list;two-pointers,https://leetcode.com/problems/linked-list-cycle-ii/
Reorder List,reorder-list,Medium,62.588237273225204,False,,linked-list;two-pointers;stack;recursion,https://leetcode.com/problems/reorder-list/
Binary Tree Preorder Traversal,binary-tree-preorder-traversal,Easy,73.31478359986583,False,,stack;tree;depth-first-search;binary-tree,https://leetcode.com/problems/binary-tree-preorder-traversal/
Binary Tree Postorder Traversal,binary-tree-postorder-traversal,Easy,75.8244527929732,False,,stack;tree;depth-first-search;binary-tree,https://leetcode.com/problems/binary-tree-postorder-traversal/
LRU Cache,lru-cache,Medium,45.27335353225322,False,,hash-table;linked-list;design;doubly-linked-list,https://leetcode.com/problems/lru-cache/
Insertion Sort List,insertion-sort-list,Medium,56.51223048010128,False,,linked-list;sorting,https://leetcode.com/problems/insertion-sort-list/
Sort List,sort-list,Medium,61.89208212038868,False,,linked-list;two-pointers;divide-and-conquer;sorting;merge-sort,https://leetcode.com/problems/sort-list/
Max Points on a Line,max-points-on-a-line,Hard,29.002490130956698,False,,array;hash-table;math;geometry,https://leetcode.com/problems/max-points-on-a-line/
Evaluate Reverse Polish Notation,evaluate-reverse-polish-notation,Medium,55.01509257114874,False,,array;math;stack,https://leetcode.com/problems/evaluate-reverse-polish-notation/
Reverse Words in a String,reverse-words-in-a-string,Medium,52.05306143253288,False,,two-pointers;string,https://leetcode.com/problems/reverse-words-in-a-string/
Maximum Product Subarray,maximum-product-subarray,Medium,34.97400489319658,False,,array;dynamic-programming,https://leetcode.com/problems/maximum-product-subarray/
Find Minimum in Rotated Sorted Array,find-minimum-in-rotated-sorted-array,Medium,52.68994298931575,False,,array;binary-search,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/
Find Minimum in Rotated Sorted Array II,find-minimum-in-rotated-sorted-array-ii,Hard,44.120089012233,False,,array;binary-search,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii/
Min Stack,min-stack,Medium,56.497153270986885,False,,stack;design,https://leetcode.com/problems/min-stack/
Binary Tree Upside Down,binary-tree-upside-down,Medium,64.51916078786455,True,,tree;depth-first-search;binary-tree,https://leetcode.com/problems/binary-tree-upside-down/
Read N Characters Given Read4,read-n-characters-given-read4,Easy,42.26392601315497,True,,array;simulation;interactive,https://leetcode.com/problems/read-n-characters-given-read4/
Read N Characters Given read4 II - Call Multiple Times,read-n-characters-given-read4-ii-call-multiple-times,Hard,42.91672993274444,True,,array;simulation;interactive,https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times/
Longest Substring with At Most Two Distinct Characters,longest-substring-with-at-most-two-distinct-characters,Medium,56.49664215845238,True,,hash-table;string;sliding-window,https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters/
Intersection of Two Linked Lists,intersection-of-two-linked-lists,Easy,61.21324028648859,False,,hash-table;linked-list;two-pointers,https://leetcode.com/problems/intersection-of-two-linked-lists/
One Edit Distance,one-edit-distance,Medium,34.48065055127329,True,,two-pointers;string,https://leetcode.com/problems/one-edit-distance/
Find Peak Element,find-peak-element,Medium,46.513306812989065,False,,array;binary-search,https://leetcode.com/problems/find-peak-element/
Missing Ranges,missing-ranges,Easy,35.28395916914403,True,,array,https://leetcode.com/problems/missing-ranges/
Maximum Gap,maximum-gap,Medium,49.41634447890556,False,,array;sorting;bucket-sort;radix-sort,https://leetcode.com/problems/maximum-gap/
Compare Version Numbers,compare-version-numbers,Medium,42.38165674778106,False,,two-pointers;string,https://leetcode.com/problems/compare-version-numbers/
Fraction to Recurring Decimal,fraction-to-recurring-decimal,Medium,26.246507782655797,False,,hash-table;math;string,https://leetcode.com/problems/fraction-to-recurring-decimal/
Two Sum II - Input Array Is Sorted,two-sum-ii-input-array-is-sorted,Medium,63.44076616454315,False,,array;two-pointers;binary-search,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/
Excel Sheet Column Title,excel-sheet-column-title,Easy,43.63645731361739,False,,math;string,https://leetcode.com/problems/excel-sheet-column-title/
Majority Element,majority-element,Easy,65.75285156974546,False,,array;hash-table;divide-and-conquer;sorting;counting,https://leetcode.com/problems/majority-element/
Two Sum III - Data structure design,two-sum-iii-data-structure-design,Easy,38.69042489988617,True,,array;hash-table;two-pointers;design;data-stream,https://leetcode.com/problems/two-sum-iii-data-structure-design/
Excel Sheet Column Number,excel-sheet-column-number,Easy,65.79382823338524,False,,math;string,https://leetcode.com/problems/excel-sheet-column-number/
Factorial Trailing Zeroes,factorial-trailing-zeroes,Medium,44.88129037076944,False,,math,https://leetcode.com/problems/factorial-trailing-zeroes/
Binary Search Tree Iterator,binary-search-tree-iterator,Medium,74.92696390034793,False,,stack;tree;design;binary-search-tree;binary-tree;iterator,https://leetcode.com/problems/binary-search-tree-iterator/
Dungeon Game,dungeon-game,Hard,39.522183266570245,False,,array;dynamic-programming;matrix,https://leetcode.com/problems/dungeon-game/
Combine Two Tables,combine-two-tables,Easy,78.10536627805197,False,,database,https://leetcode.com/problems/combine-two-tables/
Second Highest Salary,second-highest-salary,Medium,43.93546151439357,False,,database,https://leetcode.com/problems/second-highest-salary/
Nth Highest Salary,nth-highest-salary,Medium,38.050966702025704,False,,database,https://leetcode.com/problems/nth-highest-salary/
Rank Scores,rank-scores,Medium,65.36284532637666,False,,database,https://leetcode.com/problems/rank-scores/
Largest Number,largest-number,Medium,41.316296406059436,False,,array;string;greedy;sorting,https://leetcode.com/problems/largest-number/
Consecutive Numbers,consecutive-numbers,Medium,46.13739419344621,False,,database,https://leetcode.com/problems/consecutive-numbers/
Employees Earning More Than Their Managers,employees-earning-more-than-their-managers,Easy,71.55934905970079,False,,database,https://leetcode.com/problems/employees-earning-more-than-their-managers/
Duplicate Emails,duplicate-emails,Easy,72.46488752975299,False,,database,https://leetcode.com/problems/duplicate-emails/
Customers Who Never Order,customers-who-never-order,Easy,70.68916813349124,False,,database,https://leetcode.com/problems/customers-who-never-order/
Department Highest Salary,department-highest-salary,Medium,54.88331365024738,False,,database,https://leetcode.com/problems/department-highest-salary/
Department Top Three Salaries,department-top-three-salaries,Hard,57.8208948680587,False,,database,https://leetcode.com/problems/department-top-three-salaries/
Reverse Words in a String II,reverse-words-in-a-string-ii,Medium,56.084594901050046,True,,two-pointers;string,https://leetcode.com/problems/reverse-words-in-a-string-ii/
Repeated DNA Sequences,repeated-dna-sequences,Medium,51.37853501819076,False,,hash-table;string;bit-manipulation;sliding-window;rolling-hash;hash-function,https://leetcode.com/problems/repeated-dna-sequences/
Best Time to Buy and Sell Stock IV,best-time-to-buy-and-sell-stock-iv,Hard,47.19640257808939,False,,array;dynamic-programming,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/
Rotate Array,rotate-array,Medium,43.070115679958725,False,,array;math;two-pointers,https://leetcode.com/problems/rotate-array/
Reverse Bits,reverse-bits,Easy,63.28160281440637,False,,divide-and-conquer;bit-manipulation,https://leetcode.com/problems/reverse-bits/
Number of 1 Bits,number-of-1-bits,Easy,74.57124487630816,False,,divide-and-conquer;bit-manipulation,https://leetcode.com/problems/number-of-1-bits/
Word Frequency,word-frequency,Medium,27.238142674349703,False,,shell,https://leetcode.com/problems/word-frequency/
Valid Phone Numbers,valid-phone-numbers,Easy,27.4954831702401,False,,shell,https://leetcode.com/problems/valid-phone-numbers/
Transpose File,transpose-file,Medium,28.524829391819388,False,,shell,https://leetcode.com/problems/transpose-file/
Tenth Line,tenth-line,Easy,34.59953596774871,False,,shell,https://leetcode.com/problems/tenth-line/
Delete Duplicate Emails,delete-duplicate-emails,Easy,64.35471144588155,False,,database,https://leetcode.com/problems/delete-duplicate-emails/
Rising Temperature,rising-temperature,Easy,50.20095548646394,False,,database,https://leetcode.com/problems/rising-temperature/
